positive_pairs.pickle,negative_pairs.pickle
"('Portrait', 'Jaw')","('Face', 'Pc')"
"('Outdoors', 'Hat')","('Face', 'Pianist')"
"('Outdoors', 'Water')","('Coat', 'Cafe')"
"('Girl', 'Shorts')","('Room', 'Outdoors')"
"('Girl', 'Shop')","('Room', 'Nature')"
"('Wood', 'Sleeve')","('Room', 'Hat')"
"('Audience', 'Party')","('Room', 'Water')"
"('Robe', 'Jewelry')","('Furniture', 'Portrait')"
"('Teen', 'Party')","('Man', 'Hair')"
"('Art', 'Crypt')","('Man', 'Woman')"
"('Person', 'Club')","('Female', 'Head')"
"('Person', 'Party')","('Female', 'Lighting')"
"('Human', 'Club')","('Female', 'Light')"
"('Human', 'Party')","('Female', 'Driving')"
"('Clothing', 'Furniture')","('Female', 'Cafe')"
"('Clothing', 'Woman')","('Overcoat', 'Arm')"
"('Clothing', 'Food')","('Overcoat', 'Painting')"
"('Clothing', 'Blossom')","('People', 'Piano')"
"('Clothing', 'Flower')","('Crowd', 'Pillow')"
"('Clothing', 'Floor')","('Crowd', 'Pc')"
"('Apparel', 'Furniture')","('Hair', 'Vigil')"
"('Apparel', 'Woman')","('Hair', 'Driving')"
"('Apparel', 'Food')","('Photography', 'Shelf')"
"('Apparel', 'Blossom')","('Photography', 'Machine')"
"('Apparel', 'Flower')","('Photography', 'Book')"
"('Apparel', 'Floor')","('Photo', 'Shelf')"
"('Face', 'Dating')","('Photo', 'Machine')"
"('Coat', 'Crypt')","('Photo', 'Book')"
"('Furniture', 'Jacket')","('Head', 'Flooring')"
"('Man', 'Pedestrian')","('Head', 'Footwear')"
"('Female', 'Shelf')","('Head', 'Banister')"
"('Female', 'Banister')","('Head', 'School')"
"('Female', 'School')","('Head', 'Helmet')"
"('People', 'Crowd')","('Accessory', 'Sleeve')"
"('People', 'Sport')","('Accessory', 'Crypt')"
"('People', 'Sports')","('Accessory', 'Flooring')"
"('Crowd', 'Lighting')","('Accessory', 'Cafe')"
"('Hair', 'Woman')","('Accessory', 'School')"
"('Hair', 'Girl')","('Accessories', 'Sleeve')"
"('Photography', 'Smile')","('Accessories', 'Crypt')"
"('Photo', 'Smile')","('Accessories', 'Flooring')"
"('Head', 'Arm')","('Accessories', 'Cafe')"
"('Suit', 'Blazer')","('Accessories', 'School')"
"('Suit', 'Pottery')","('Suit', 'Finger')"
"('Woman', 'Robe')","('Suit', 'Cafe')"
"('Woman', 'Teen')","('Pub', 'Water')"
"('Woman', 'Blossom')","('Pub', 'Clinic')"
"('Woman', 'Flower')","('Woman', 'Glasses')"
"('Woman', 'Smile')","('Woman', 'Hand')"
"('Outdoors', 'Nature')","('Woman', 'Window')"
"('Plant', 'Vegetation')","('Portrait', 'Closet')"
"('Finger', 'Sleeve')","('Outdoors', 'Shop')"
"('Electronics', 'Driving')","('Plant', 'Performer')"
"('Table', 'Driving')","('Finger', 'Water')"
"('Nature', 'Military')","('Transportation', 'Crypt')"
"('Fashion', 'Female')","('Vehicle', 'Crypt')"
"('Fashion', 'Tuxedo')","('Electronics', 'Hat')"
"('Tie', 'Court')","('Electronics', 'Art')"
"('Tie', 'Worker')","('Electronics', 'Dance')"
"('Girl', 'Hair')","('Table', 'Dance')"
"('Girl', 'Woman')","('Fashion', 'Hand')"
"('Girl', 'Teen')","('Fashion', 'Prison')"
"('Girl', 'School')","('Fashion', 'Clinic')"
"('Wood', 'Shelf')","('Tie', 'Dance')"
"('Wood', 'School')","('Girl', 'Crypt')"
"('Wood', 'Book')","('Girl', 'Theater')"
"('Sitting', 'Driving')","('Dating', 'Helmet')"
"('Gown', 'Robe')","('Court', 'Party')"
"('Gown', 'Jewelry')","('Robe', 'Glasses')"
"('Car', 'Driving')","('Gown', 'Man')"
"('Automobile', 'Driving')","('Teen', 'Military')"
"('Dungeon', 'Mammal')","('Art', 'Prison')"
"('Dungeon', 'Painting')","('Dungeon', 'Shorts')"
"('Clothing', 'Plywood')","('Crypt', 'Club')"
"('Apparel', 'Plywood')","('Shelf', 'Halo')"
"('Face', 'Photography')","('Person', 'Pedestrian')"
"('Face', 'Photo')","('Person', 'Crypt')"
"('Face', 'Ear')","('Person', 'Theater')"
"('Coat', 'Tuxedo')","('Human', 'Pedestrian')"
"('Room', 'Court')","('Human', 'Crypt')"
"('Room', 'Lecture')","('Human', 'Theater')"
"('Room', 'Pianist')","('Clothing', 'Portrait')"
"('Furniture', 'Sitting')","('Apparel', 'Portrait')"
"('Furniture', 'Grass')","('Face', 'Clothing')"
"('Furniture', 'Bed')","('Face', 'Apparel')"
"('Furniture', 'Clinic')","('Face', 'Lamp')"
"('Furniture', 'Pianist')","('Face', 'Glasses')"
"('Man', 'Shirt')","('Face', 'Military')"
"('Female', 'Clothing')","('Face', 'Floor')"
"('Female', 'Apparel')","('Face', 'Book')"
"('Overcoat', 'Architecture')","('Coat', 'Shelf')"
"('Crowd', 'People')","('Coat', 'Vegetation')"
"('Crowd', 'Pants')","('Coat', 'Painting')"
"('Crowd', 'School')","('Room', 'People')"
"('Crowd', 'Book')","('Room', 'Animal')"
"('Hair', 'Footwear')","('Room', 'Crypt')"
"('Hair', 'Arm')","('Room', 'Military')"
"('Hair', 'Dance')","('Room', 'Shorts')"
"('Hair', 'School')","('Room', 'Party')"
"('Photography', 'Face')","('Furniture', 'Photography')"
"('Photography', 'Head')","('Furniture', 'Photo')"
"('Photography', 'Portrait')","('Furniture', 'Nature')"
"('Photography', 'Dance')","('Furniture', 'Dungeon')"
"('Photo', 'Face')","('Furniture', 'Military')"
"('Photo', 'Head')","('Man', 'Clothing')"
"('Photo', 'Portrait')","('Man', 'Apparel')"
"('Photo', 'Dance')","('Man', 'Audience')"
"('Head', 'Face')","('Man', 'Child')"
"('Pub', 'Light')","('Man', 'Kid')"
"('Building', 'Painting')","('Man', 'Teen')"
"('Portrait', 'Dance')","('Man', 'Machine')"
"('Outdoors', 'Military')","('Female', 'Dungeon')"
"('Plant', 'Party')","('Female', 'Computer')"
"('Finger', 'Flooring')","('Female', 'Clinic')"
"('Transportation', 'Halo')","('Overcoat', 'Glasses')"
"('Vehicle', 'Halo')","('Overcoat', 'Cafe')"
"('Electronics', 'Door')","('People', 'Car')"
"('Girl', 'Smile')","('People', 'Automobile')"
"('Performer', 'Crypt')","('People', 'Crypt')"
"('Performer', 'Theater')","('People', 'Glasses')"
"('Dating', 'Jewelry')","('People', 'Window')"
"('Wood', 'Plywood')","('People', 'Theater')"
"('Audience', 'Club')","('People', 'Pianist')"
"('Robe', 'Female')","('Crowd', 'Window')"
"('Teen', 'Female')","('Crowd', 'Driving')"
"('Dungeon', 'Performer')","('Hair', 'Building')"
"('Dungeon', 'Vigil')","('Hair', 'Hat')"
"('Crypt', 'Vigil')","('Hair', 'Theater')"
"('Crypt', 'Mammal')","('Photography', 'Furniture')"
"('Crypt', 'Painting')","('Photography', 'Finger')"
"('Shelf', 'Book')","('Photography', 'Audience')"
"('Person', 'Shelf')","('Photography', 'Lamp')"
"('Person', 'School')","('Photography', 'Light')"
"('Human', 'Shelf')","('Photography', 'Vigil')"
"('Human', 'School')","('Photography', 'Club')"
"('Clothing', 'Glass')","('Photography', 'Piano')"
"('Clothing', 'Dungeon')","('Photography', 'Driving')"
"('Clothing', 'Worker')","('Photo', 'Furniture')"
"('Clothing', 'Cafeteria')","('Photo', 'Finger')"
"('Clothing', 'Street')","('Photo', 'Audience')"
"('Apparel', 'Glass')","('Photo', 'Lamp')"
"('Apparel', 'Dungeon')","('Photo', 'Light')"
"('Apparel', 'Worker')","('Photo', 'Vigil')"
"('Apparel', 'Cafeteria')","('Photo', 'Club')"
"('Apparel', 'Street')","('Photo', 'Piano')"
"('Coat', 'Blazer')","('Photo', 'Driving')"
"('Room', 'Suit')","('Head', 'Clothing')"
"('Room', 'Speech')","('Head', 'Apparel')"
"('Room', 'Driving')","('Head', 'Lamp')"
"('Room', 'Prison')","('Head', 'Pants')"
"('Room', 'Hug')","('Accessory', 'Jacket')"
"('Room', 'Book')","('Accessory', 'Wood')"
"('Furniture', 'Glass')","('Accessories', 'Jacket')"
"('Furniture', 'Worker')","('Accessories', 'Wood')"
"('Furniture', 'Footwear')","('Suit', 'Window')"
"('Furniture', 'Shoe')","('Suit', 'Dance')"
"('Man', 'Face')","('Suit', 'Painting')"
"('Man', 'Head')","('Pub', 'Nature')"
"('Female', 'Dating')","('Woman', 'Light')"
"('Female', 'Food')","('Building', 'Party')"
"('Female', 'Meal')","('Portrait', 'Plywood')"
"('Female', 'Path')","('Portrait', 'Book')"
"('Female', 'Arm')","('Plant', 'Man')"
"('Overcoat', 'Blazer')","('Plant', 'Pedestrian')"
"('People', 'Hat')","('Finger', 'Jewelry')"
"('People', 'Military')","('Transportation', 'Dungeon')"
"('People', 'Shop')","('Transportation', 'Ear')"
"('Crowd', 'Tie')","('Vehicle', 'Dungeon')"
"('Crowd', 'Gown')","('Vehicle', 'Ear')"
"('Crowd', 'Dance')","('Electronics', 'People')"
"('Hair', 'Gown')","('Table', 'Performer')"
"('Hair', 'Shoe')","('Table', 'Painting')"
"('Photography', 'Photo')","('Table', 'Stage')"
"('Photography', 'Water')","('Nature', 'Shop')"
"('Photography', 'Halo')","('Tie', 'Glasses')"
"('Photo', 'Photography')","('Tie', 'Vigil')"
"('Photo', 'Water')","('Tie', 'Cafe')"
"('Photo', 'Halo')","('Girl', 'Court')"
"('Head', 'Skin')","('Girl', 'Pedestrian')"
"('Head', 'Hand')","('Girl', 'Dungeon')"
"('Head', 'Ear')","('Girl', 'Hand')"
"('Accessory', 'Crowd')","('Performer', 'Shelf')"
"('Accessory', 'Worker')","('Performer', 'Window')"
"('Accessory', 'Speech')","('Performer', 'Banister')"
"('Accessory', 'Sunglasses')","('Dating', 'Military')"
"('Accessory', 'Pottery')","('Court', 'Shorts')"
"('Accessories', 'Crowd')","('Court', 'Dance')"
"('Accessories', 'Worker')","('Wood', 'Hand')"
"('Accessories', 'Speech')","('Sitting', 'Art')"
"('Accessories', 'Sunglasses')","('Lamp', 'Jaw')"
"('Accessories', 'Pottery')","('Lamp', 'Dance')"
"('Suit', 'Coat')","('Restaurant', 'Halo')"
"('Suit', 'Accessory')","('Screen', 'Dungeon')"
"('Suit', 'Accessories')","('Child', 'Military')"
"('Suit', 'Architecture')","('Child', 'Theater')"
"('Suit', 'Wine')","('Child', 'Prison')"
"('Woman', 'Water')","('Child', 'Painting')"
"('Woman', 'Closet')","('Kid', 'Military')"
"('Portrait', 'Face')","('Kid', 'Theater')"
"('Portrait', 'Head')","('Kid', 'Prison')"
"('Plant', 'Tree')","('Kid', 'Painting')"
"('Plant', 'Blossom')","('Hat', 'Halo')"
"('Plant', 'Flower')","('Teen', 'Prison')"
"('Plant', 'Grass')","('Monitor', 'Dungeon')"
"('Plant', 'Meal')","('Display', 'Dungeon')"
"('Plant', 'Bed')","('Dungeon', 'Pants')"
"('Finger', 'Shorts')","('Dungeon', 'Club')"
"('Finger', 'School')","('Dungeon', 'Party')"
"('Transportation', 'Vehicle')","('Crypt', 'Shorts')"
"('Vehicle', 'Transportation')","('Plywood', 'Halo')"
"('Table', 'Book')","('Person', 'Hand')"
"('Nature', 'Hat')","('Human', 'Hand')"
"('Nature', 'Water')","('Clothing', 'Animal')"
"('Fashion', 'Woman')","('Clothing', 'Computer')"
"('Fashion', 'Dungeon')","('Clothing', 'Cafe')"
"('Fashion', 'Closet')","('Apparel', 'Animal')"
"('Tie', 'Shirt')","('Apparel', 'Computer')"
"('Tie', 'Blazer')","('Apparel', 'Cafe')"
"('Girl', 'Blossom')","('Face', 'Table')"
"('Girl', 'Flower')","('Face', 'Child')"
"('Performer', 'Jaw')","('Face', 'Kid')"
"('Performer', 'Tuxedo')","('Face', 'Tree')"
"('Dating', 'Arm')","('Face', 'Bed')"
"('Court', 'Tie')","('Room', 'Vegetation')"
"('Court', 'Hug')","('Furniture', 'Art')"
"('Sitting', 'Book')","('Furniture', 'Architecture')"
"('Audience', 'Crowd')","('Furniture', 'Water')"
"('Audience', 'Pants')","('Furniture', 'Smile')"
"('Audience', 'Shop')","('Furniture', 'Hand')"
"('Audience', 'School')","('Furniture', 'Stage')"
"('Robe', 'Closet')","('Man', 'Wood')"
"('Gown', 'Female')","('Man', 'Glass')"
"('Gown', 'Closet')","('Female', 'Coat')"
"('Child', 'Female')","('Female', 'Overcoat')"
"('Child', 'Girl')","('Female', 'Building')"
"('Child', 'Teen')","('Female', 'Electronics')"
"('Kid', 'Female')","('Overcoat', 'Hair')"
"('Kid', 'Girl')","('Overcoat', 'Finger')"
"('Kid', 'Teen')","('Overcoat', 'Sport')"
"('Teen', 'Girl')","('Overcoat', 'Sports')"
"('Teen', 'Shop')","('Overcoat', 'Window')"
"('Crypt', 'Art')","('Overcoat', 'Vegetation')"
"('Plywood', 'School')","('Overcoat', 'Stage')"
"('Plywood', 'Book')","('Overcoat', 'Party')"
"('Blonde', 'Party')","('People', 'Finger')"
"('Sport', 'Sports')","('People', 'Jacket')"
"('Sports', 'Sport')","('People', 'Lamp')"
