positive_pairs.pickle,negative_pairs.pickle
"('Kid', 'Cushion')","('Military', 'Text')"
"('Kid', 'Glass')","('Military', 'Couch')"
"('Kid', 'Housing')","('Military', 'City')"
"('Kid', 'Pants')","('Military', 'Town')"
"('Kid', 'Tree')","('Military', 'Light')"
"('Kid', 'Sport')","('Military', 'Machine')"
"('Kid', 'Sports')","('Military', 'Blossom')"
"('Kid', 'Worker')","('Military', 'Flower')"
"('Kid', 'Tuxedo')","('Military', 'Smile')"
"('Kid', 'Meal')","('Military', 'Meal')"
"('Kid', 'Speech')","('Military', 'Path')"
"('Kid', 'Clinic')","('Military', 'Wheel')"
"('Kid', 'Ear')","('Military', 'Floor')"
"('Hat', 'Crowd')","('Military', 'Pottery')"
"('Hat', 'Building')","('Military', 'Banister')"
"('Hat', 'Tie')","('Military', 'Pianist')"
"('Hat', 'Robe')","('Tuxedo', 'Man')"
"('Hat', 'Gown')","('Tuxedo', 'Electronics')"
"('Hat', 'Restaurant')","('Tuxedo', 'Sitting')"
"('Hat', 'Sport')","('Tuxedo', 'Door')"
"('Hat', 'Sports')","('Tuxedo', 'Car')"
"('Hat', 'Blossom')","('Tuxedo', 'Automobile')"
"('Hat', 'Flower')","('Tuxedo', 'Sleeve')"
"('Hat', 'Club')","('Tuxedo', 'Pedestrian')"
"('Hat', 'Cafeteria')","('Tuxedo', 'Alcohol')"
"('Hat', 'Theater')","('Tuxedo', 'Light')"
"('Hat', 'Path')","('Tuxedo', 'Bed')"
"('Hat', 'Wheel')","('Tuxedo', 'Footwear')"
"('Hat', 'Cafe')","('Tuxedo', 'Cafeteria')"
"('Hat', 'Party')","('Tuxedo', 'Shoe')"
"('Hat', 'Symbol')","('Tuxedo', 'Driving')"
"('Hat', 'School')","('Tuxedo', 'Halo')"
"('Drink', 'Clothing')","('Tuxedo', 'Painting')"
"('Drink', 'Apparel')","('Tuxedo', 'Ear')"
"('Drink', 'Room')","('Tuxedo', 'Pc')"
"('Drink', 'Furniture')","('Tuxedo', 'Helmet')"
"('Drink', 'Man')","('Meal', 'Face')"
"('Drink', 'Female')","('Meal', 'Man')"
"('Drink', 'Hair')","('Meal', 'Head')"
"('Drink', 'Woman')","('Meal', 'Skin')"
"('Drink', 'Food')","('Meal', 'Hand')"
"('Drink', 'Car')","('Meal', 'Piano')"
"('Drink', 'Automobile')","('Meal', 'Symbol')"
"('Drink', 'Teen')","('Bed', 'Face')"
"('Drink', 'Monitor')","('Bed', 'People')"
"('Drink', 'Display')","('Bed', 'Crowd')"
"('Drink', 'Housing')","('Bed', 'Head')"
"('Drink', 'Pants')","('Bed', 'Performer')"
"('Drink', 'Road')","('Bed', 'Court')"
"('Drink', 'Alcohol')","('Bed', 'Art')"
"('Drink', 'Shelf')","('Bed', 'Text')"
"('Drink', 'Blossom')","('Bed', 'Crypt')"
"('Drink', 'Flower')","('Bed', 'Computer')"
"('Drink', 'Smile')","('Bed', 'Desk')"
"('Drink', 'Vigil')","('Bed', 'Sunglasses')"
"('Drink', 'Club')","('Bed', 'Shop')"
"('Drink', 'Grass')","('Bed', 'Floor')"
"('Drink', 'Flooring')","('Bed', 'Halo')"
"('Drink', 'Pillow')","('Bed', 'Party')"
"('Drink', 'Shoe')","('Bed', 'School')"
"('Drink', 'Prison')","('Bed', 'Helmet')"
"('Drink', 'Clinic')","('Flooring', 'Face')"
"('Drink', 'Closet')","('Flooring', 'People')"
"('Drink', 'Pianist')","('Flooring', 'Photography')"
"('Beverage', 'Clothing')","('Flooring', 'Photo')"
"('Beverage', 'Apparel')","('Flooring', 'Accessory')"
"('Beverage', 'Room')","('Flooring', 'Accessories')"
"('Beverage', 'Furniture')","('Flooring', 'Suit')"
"('Beverage', 'Man')","('Flooring', 'Portrait')"
"('Beverage', 'Female')","('Flooring', 'Performer')"
"('Beverage', 'Hair')","('Flooring', 'Dating')"
"('Beverage', 'Woman')","('Flooring', 'Court')"
"('Beverage', 'Food')","('Flooring', 'Shirt')"
"('Beverage', 'Car')","('Flooring', 'Pedestrian')"
"('Beverage', 'Automobile')","('Flooring', 'Text')"
"('Beverage', 'Teen')","('Flooring', 'Animal')"
"('Beverage', 'Monitor')","('Flooring', 'Dungeon')"
"('Beverage', 'Display')","('Flooring', 'Blazer')"
"('Beverage', 'Housing')","('Flooring', 'Blossom')"
"('Beverage', 'Pants')","('Flooring', 'Flower')"
"('Beverage', 'Road')","('Flooring', 'Smile')"
"('Beverage', 'Alcohol')","('Flooring', 'Worker')"
"('Beverage', 'Shelf')","('Flooring', 'Jaw')"
"('Beverage', 'Blossom')","('Flooring', 'Grass')"
"('Beverage', 'Flower')","('Flooring', 'Dress')"
"('Beverage', 'Smile')","('Flooring', 'Mammal')"
"('Beverage', 'Vigil')","('Flooring', 'Pottery')"
"('Beverage', 'Club')","('Flooring', 'Hug')"
"('Beverage', 'Grass')","('Flooring', 'Jewelry')"
"('Beverage', 'Flooring')","('Computer', 'Crowd')"
"('Beverage', 'Pillow')","('Computer', 'Art')"
"('Beverage', 'Shoe')","('Computer', 'Architecture')"
"('Beverage', 'Prison')","('Computer', 'Musician')"
"('Beverage', 'Clinic')","('Computer', 'Animal')"
"('Beverage', 'Closet')","('Computer', 'Crypt')"
"('Beverage', 'Pianist')","('Computer', 'Sport')"
"('Sleeve', 'Woman')","('Computer', 'Sports')"
"('Sleeve', 'Table')","('Computer', 'Path')"
"('Sleeve', 'Child')","('Computer', 'Shorts')"
"('Sleeve', 'Kid')","('Computer', 'Hug')"
"('Sleeve', 'Cushion')","('Computer', 'Party')"
"('Sleeve', 'Glass')","('Computer', 'School')"
"('Sleeve', 'Road')","('Dress', 'Face')"
"('Sleeve', 'Blazer')","('Dress', 'Photography')"
"('Sleeve', 'Light')","('Dress', 'Photo')"
"('Sleeve', 'Sport')","('Dress', 'Head')"
"('Sleeve', 'Sports')","('Dress', 'Jacket')"
"('Sleeve', 'Blossom')","('Dress', 'Door')"
"('Sleeve', 'Flower')","('Dress', 'Alcohol')"
"('Sleeve', 'Window')","('Dress', 'Light')"
"('Sleeve', 'Piano')","('Dress', 'Machine')"
"('Sleeve', 'Shop')","('Dress', 'Jaw')"
"('Sleeve', 'Prison')","('Dress', 'Hand')"
"('Sleeve', 'Pc')","('Dress', 'Window')"
"('Teen', 'Jacket')","('Dress', 'Pillow')"
"('Teen', 'Tie')","('Dress', 'Piano')"
"('Teen', 'Audience')","('Dress', 'Vegetation')"
"('Teen', 'Glass')","('Dress', 'Arm')"
"('Teen', 'Pants')","('Dress', 'Prison')"
"('Teen', 'Tree')","('Dress', 'Wine')"
"('Teen', 'Grass')","('Dress', 'Helmet')"
"('Teen', 'Speech')","('Desk', 'People')"
"('Teen', 'Sunglasses')","('Desk', 'Portrait')"
"('Teen', 'Path')","('Desk', 'Architecture')"
"('Teen', 'Lecture')","('Desk', 'Musician')"
"('Teen', 'Book')","('Desk', 'Lighting')"
"('Art', 'People')","('Desk', 'Crypt')"
"('Art', 'Building')","('Desk', 'Sport')"
"('Art', 'Outdoors')","('Desk', 'Sports')"
"('Art', 'Court')","('Desk', 'Bed')"
"('Art', 'Wood')","('Desk', 'Dress')"
"('Art', 'Water')","('Desk', 'Theater')"
"('Art', 'Theater')","('Desk', 'Shorts')"
"('Art', 'Pillow')","('Desk', 'Arm')"
"('Art', 'Vegetation')","('Desk', 'Painting')"
"('Art', 'Wine')","('Desk', 'Party')"
"('Art', 'Ear')","('Footwear', 'Photography')"
"('Monitor', 'Room')","('Footwear', 'Photo')"
"('Monitor', 'Hair')","('Footwear', 'Suit')"
"('Monitor', 'Jacket')","('Footwear', 'Portrait')"
"('Monitor', 'Drink')","('Footwear', 'Tie')"
"('Monitor', 'Beverage')","('Footwear', 'Dating')"
"('Monitor', 'Teen')","('Footwear', 'Chair')"
"('Monitor', 'Shirt')","('Footwear', 'Art')"
"('Monitor', 'Housing')","('Footwear', 'Smile')"
"('Monitor', 'Lighting')","('Footwear', 'Hand')"
"('Monitor', 'Alcohol')","('Footwear', 'Military')"
"('Monitor', 'City')","('Footwear', 'Tuxedo')"
"('Monitor', 'Town')","('Footwear', 'Computer')"
"('Monitor', 'Machine')","('Footwear', 'Theater')"
"('Monitor', 'Blossom')","('Footwear', 'Pillow')"
"('Monitor', 'Flower')","('Footwear', 'Mammal')"
"('Monitor', 'Water')","('Footwear', 'Arm')"
"('Monitor', 'Bed')","('Footwear', 'Prison')"
"('Monitor', 'Computer')","('Footwear', 'Wine')"
"('Monitor', 'Sunglasses')","('Footwear', 'Painting')"
"('Monitor', 'Cafe')","('Footwear', 'Ear')"
"('Monitor', 'Halo')","('Footwear', 'Pc')"
"('Monitor', 'Pc')","('Cafeteria', 'Face')"
"('Monitor', 'Helmet')","('Cafeteria', 'Photography')"
"('Monitor', 'Pianist')","('Cafeteria', 'Photo')"
"('Display', 'Room')","('Cafeteria', 'Head')"
"('Display', 'Hair')","('Cafeteria', 'Portrait')"
"('Display', 'Jacket')","('Cafeteria', 'Nature')"
"('Display', 'Drink')","('Cafeteria', 'Court')"
"('Display', 'Beverage')","('Cafeteria', 'Art')"
"('Display', 'Teen')","('Cafeteria', 'Water')"
"('Display', 'Shirt')","('Cafeteria', 'Computer')"
"('Display', 'Housing')","('Cafeteria', 'Street')"
"('Display', 'Lighting')","('Cafeteria', 'Mammal')"
"('Display', 'Alcohol')","('Cafeteria', 'Hug')"
"('Display', 'City')","('Speech', 'Nature')"
"('Display', 'Town')","('Speech', 'Performer')"
"('Display', 'Machine')","('Speech', 'Restaurant')"
"('Display', 'Blossom')","('Speech', 'Hat')"
"('Display', 'Flower')","('Speech', 'Art')"
"('Display', 'Water')","('Speech', 'Housing')"
"('Display', 'Bed')","('Speech', 'Dungeon')"
"('Display', 'Computer')","('Speech', 'Crypt')"
"('Display', 'Sunglasses')","('Speech', 'Tuxedo')"
"('Display', 'Cafe')","('Speech', 'Window')"
"('Display', 'Halo')","('Speech', 'Theater')"
"('Display', 'Pc')","('Speech', 'Pillow')"
"('Display', 'Helmet')","('Speech', 'Mammal')"
"('Display', 'Pianist')","('Speech', 'Dance')"
"('Cushion', 'Furniture')","('Speech', 'Clinic')"
"('Cushion', 'Pub')","('Speech', 'Jewelry')"
"('Cushion', 'Plant')","('Speech', 'Pc')"
"('Cushion', 'Transportation')","('Window', 'Person')"
"('Cushion', 'Vehicle')","('Window', 'Human')"
"('Cushion', 'Jacket')","('Window', 'People')"
"('Cushion', 'Food')","('Window', 'Crowd')"
"('Cushion', 'Screen')","('Window', 'Suit')"
"('Cushion', 'Child')","('Window', 'Fashion')"
"('Cushion', 'Kid')","('Window', 'Tie')"
"('Cushion', 'Teen')","('Window', 'Performer')"
"('Cushion', 'Alcohol')","('Window', 'Dating')"
"('Cushion', 'Glasses')","('Window', 'Teen')"
"('Cushion', 'Blonde')","('Window', 'Tree')"
"('Cushion', 'Machine')","('Window', 'Blazer')"
"('Cushion', 'Blossom')","('Window', 'Water')"
"('Cushion', 'Flower')","('Window', 'Club')"
"('Cushion', 'Water')","('Window', 'Sunglasses')"
"('Cushion', 'Worker')","('Window', 'Shop')"
"('Cushion', 'Hand')","('Window', 'Dance')"
"('Cushion', 'Meal')","('Window', 'Stage')"
"('Cushion', 'Piano')","('Window', 'Party')"
"('Cushion', 'Shorts')","('Theater', 'Person')"
"('Cushion', 'Closet')","('Theater', 'Human')"
"('Cushion', 'Banister')","('Theater', 'Clothing')"
"('Architecture', 'Overcoat')","('Theater', 'Apparel')"
"('Architecture', 'People')","('Theater', 'Furniture')"
"('Architecture', 'Fashion')","('Theater', 'Female')"
"('Architecture', 'Court')","('Theater', 'Outdoors')"
"('Architecture', 'Chair')","('Theater', 'Finger')"
"('Architecture', 'Tree')","('Theater', 'Nature')"
"('Architecture', 'Light')","('Theater', 'Tie')"
"('Architecture', 'Military')","('Theater', 'Girl')"
"('Architecture', 'Dress')","('Theater', 'Court')"
"('Architecture', 'Path')","('Theater', 'Wood')"
"('Architecture', 'Street')","('Theater', 'Food')"
"('Architecture', 'Hug')","('Theater', 'Chair')"
"('Shirt', 'Crowd')","('Theater', 'Hat')"
"('Shirt', 'Transportation')","('Theater', 'Glass')"
"('Shirt', 'Vehicle')","('Theater', 'Housing')"
"('Shirt', 'Table')","('Theater', 'Blazer')"
"('Shirt', 'Dating')","('Theater', 'Crypt')"
"('Shirt', 'Wood')","('Theater', 'Skin')"
"('Shirt', 'Sitting')","('Theater', 'Smile')"
"('Shirt', 'Chair')","('Theater', 'Grass')"
"('Shirt', 'Musician')","('Theater', 'Meal')"
"('Shirt', 'Text')","('Theater', 'Bed')"
"('Shirt', 'Lighting')","('Theater', 'Desk')"
"('Shirt', 'Road')","('Theater', 'Footwear')"
"('Shirt', 'Couch')","('Theater', 'Window')"
"('Shirt', 'Plywood')","('Theater', 'Vegetation')"
"('Shirt', 'Meal')","('Theater', 'Shop')"
"('Shirt', 'Bed')","('Theater', 'Shoe')"
"('Shirt', 'Cafeteria')","('Theater', 'Wheel')"
"('Shirt', 'Speech')","('Theater', 'Clinic')"
"('Shirt', 'Sunglasses')","('Theater', 'Ear')"
"('Shirt', 'Shorts')","('Theater', 'Party')"
"('Shirt', 'Arm')","('Theater', 'Closet')"
"('Shirt', 'Lecture')","('Sunglasses', 'Person')"
"('Shirt', 'Symbol')","('Sunglasses', 'Human')"
"('Musician', 'Person')","('Sunglasses', 'Tie')"
"('Musician', 'Human')","('Sunglasses', 'Court')"
"('Musician', 'Crowd')","('Sunglasses', 'Wood')"
"('Musician', 'Hair')","('Sunglasses', 'Child')"
"('Musician', 'Finger')","('Sunglasses', 'Kid')"
"('Musician', 'Couch')","('Sunglasses', 'Sleeve')"
"('Musician', 'Smile')","('Sunglasses', 'Pants')"
"('Musician', 'Vigil')","('Sunglasses', 'Crypt')"
"('Musician', 'Worker')","('Sunglasses', 'Shelf')"
"('Musician', 'Jaw')","('Sunglasses', 'Water')"
"('Musician', 'Club')","('Sunglasses', 'Jaw')"
"('Musician', 'Tuxedo')","('Sunglasses', 'Pillow')"
"('Musician', 'Meal')","('Sunglasses', 'Vegetation')"
"('Musician', 'Bed')","('Sunglasses', 'Mammal')"
"('Musician', 'Flooring')","('Sunglasses', 'Hug')"
"('Musician', 'Street')","('Sunglasses', 'Ear')"
"('Musician', 'Shoe')","('Sunglasses', 'Banister')"
"('Musician', 'Prison')","('Sunglasses', 'School')"
"('Musician', 'Hug')","('Pillow', 'People')"
"('Musician', 'Painting')","('Pillow', 'Crowd')"
"('Glass', 'Clothing')","('Pillow', 'Head')"
"('Glass', 'Apparel')","('Pillow', 'Performer')"
"('Glass', 'Coat')","('Pillow', 'Architecture')"
"('Glass', 'Room')","('Pillow', 'Lighting')"
"('Glass', 'Furniture')","('Pillow', 'Crypt')"
"('Glass', 'Female')","('Pillow', 'Light')"
"('Glass', 'Overcoat')","('Pillow', 'Jaw')"
"('Glass', 'Hair')","('Pillow', 'Military')"
"('Glass', 'Suit')","('Pillow', 'Flooring')"
"('Glass', 'Pub')","('Pillow', 'Desk')"
"('Glass', 'Woman')","('Pillow', 'Cafeteria')"
"('Glass', 'Jacket')","('Pillow', 'Shop')"
"('Glass', 'Fashion')","('Pillow', 'Painting')"
"('Glass', 'Court')","('Pillow', 'Helmet')"
"('Glass', 'Wood')","('Piano', 'Tie')"
"('Glass', 'Sitting')","('Piano', 'Animal')"
"('Glass', 'Food')","('Piano', 'Blonde')"
"('Glass', 'Robe')","('Piano', 'Water')"
"('Glass', 'Teen')","('Piano', 'Grass')"
"('Glass', 'Road')","('Piano', 'Military')"
"('Glass', 'Alcohol')","('Piano', 'Shorts')"
"('Glass', 'Tree')","('Piano', 'Shop')"
"('Glass', 'Blossom')","('Piano', 'Mammal')"
"('Glass', 'Flower')","('Piano', 'Clinic')"
"('Glass', 'Vigil')","('Piano', 'Painting')"
"('Glass', 'Club')","('Piano', 'Party')"
"('Glass', 'Flooring')","('Piano', 'Book')"
"('Glass', 'Vegetation')","('Vegetation', 'Head')"
"('Glass', 'Driving')","('Vegetation', 'Pub')"
"('Glass', 'Pottery')","('Vegetation', 'Jacket')"
"('Glass', 'Prison')","('Vegetation', 'Performer')"
"('Glass', 'Clinic')","('Vegetation', 'Musician')"
"('Glass', 'Pc')","('Vegetation', 'Pants')"
"('Glass', 'Closet')","('Vegetation', 'Lighting')"
"('Glass', 'Book')","('Vegetation', 'Sport')"
"('Pedestrian', 'Coat')","('Vegetation', 'Sports')"
"('Pedestrian', 'Man')","('Vegetation', 'Machine')"
"('Pedestrian', 'Overcoat')","('Vegetation', 'Vigil')"
"('Pedestrian', 'Building')","('Vegetation', 'Jaw')"
"('Pedestrian', 'Electronics')","('Vegetation', 'Shop')"
"('Pedestrian', 'Performer')","('Vegetation', 'Wheel')"
"('Pedestrian', 'Audience')","('Vegetation', 'Dance')"
"('Pedestrian', 'Car')","('Path', 'Head')"
"('Pedestrian', 'Automobile')","('Path', 'Fashion')"
"('Pedestrian', 'Musician')","('Path', 'Dungeon')"
"('Pedestrian', 'Text')","('Path', 'Crypt')"
"('Pedestrian', 'Road')","('Path', 'Sunglasses')"
"('Pedestrian', 'Dungeon')","('Path', 'Driving')"
"('Pedestrian', 'City')","('Path', 'Cafe')"
"('Pedestrian', 'Town')","('Path', 'Painting')"
"('Pedestrian', 'Light')","('Path', 'Party')"
"('Pedestrian', 'Skin')","('Shorts', 'Face')"
"('Pedestrian', 'Machine')","('Shorts', 'Man')"
"('Pedestrian', 'Jaw')","('Shorts', 'Overcoat')"
"('Pedestrian', 'Footwear')","('Shorts', 'Head')"
"('Pedestrian', 'Speech')","('Shorts', 'Suit')"
"('Pedestrian', 'Theater')","('Shorts', 'Court')"
"('Pedestrian', 'Floor')","('Shorts', 'Art')"
"('Pedestrian', 'Cafe')","('Shorts', 'Pedestrian')"
"('Pedestrian', 'Halo')","('Shorts', 'Animal')"
"('Pedestrian', 'Closet')","('Shorts', 'Dungeon')"
"('Pedestrian', 'Pianist')","('Shorts', 'Vigil')"
"('Housing', 'Furniture')","('Shorts', 'Jaw')"
"('Housing', 'Nature')","('Shorts', 'Hand')"
"('Housing', 'Wood')","('Shorts', 'Tuxedo')"
"('Housing', 'Lamp')","('Shorts', 'Desk')"
"('Housing', 'Door')","('Shorts', 'Theater')"
"('Housing', 'Hat')","('Shorts', 'Pillow')"
"('Housing', 'Art')","('Shorts', 'Wine')"
"('Housing', 'Architecture')","('Shorts', 'Painting')"
"('Housing', 'Pants')","('Street', 'Person')"
"('Housing', 'Alcohol')","('Street', 'Human')"
"('Housing', 'City')","('Street', 'Plant')"
"('Housing', 'Town')","('Street', 'Dating')"
"('Housing', 'Crypt')","('Street', 'Text')"
"('Housing', 'Worker')","('Street', 'Blonde')"
"('Housing', 'Tuxedo')","('Street', 'Blossom')"
"('Housing', 'Bed')","('Street', 'Flower')"
"('Housing', 'Dress')","('Street', 'Water')"
"('Housing', 'Shorts')","('Street', 'Grass')"
"('Housing', 'Wheel')","('Street', 'Meal')"
"('Housing', 'Mammal')","('Street', 'Flooring')"
"('Housing', 'Prison')","('Street', 'Cafeteria')"
"('Housing', 'Hug')","('Street', 'Sunglasses')"
"('Housing', 'Banister')","('Street', 'Wheel')"
"('Text', 'Accessory')","('Street', 'Driving')"
"('Text', 'Accessories')","('Street', 'Floor')"
"('Text', 'Jacket')","('Street', 'Symbol')"
"('Text', 'Door')","('Street', 'School')"
"('Text', 'Screen')","('Shop', 'Man')"
"('Text', 'Car')","('Shop', 'Outdoors')"
"('Text', 'Automobile')","('Shop', 'Nature')"
"('Text', 'Monitor')","('Shop', 'Court')"
"('Text', 'Display')","('Shop', 'Dungeon')"
"('Text', 'Shirt')","('Shop', 'Crypt')"
"('Text', 'Pedestrian')","('Shop', 'Water')"
"('Text', 'Pants')","('Shop', 'Smile')"
"('Text', 'Blazer')","('Shop', 'Computer')"
"('Text', 'City')","('Shop', 'Theater')"
"('Text', 'Town')","('Shop', 'Pillow')"
"('Text', 'Light')","('Shop', 'Driving')"
"('Text', 'Machine')","('Shop', 'Arm')"
"('Text', 'Blossom')","('Shop', 'Wine')"
"('Text', 'Flower')","('Shoe', 'Face')"
"('Text', 'Hand')","('Shoe', 'Man')"
"('Text', 'Computer')","('Shoe', 'Photography')"
"('Text', 'Footwear')","('Shoe', 'Photo')"
"('Text', 'Cafeteria')","('Shoe', 'Head')"
"('Text', 'Window')","('Shoe', 'Suit')"
"('Text', 'Path')","('Shoe', 'Portrait')"
"('Text', 'Shop')","('Shoe', 'Tie')"
"('Text', 'Shoe')","('Shoe', 'Dating')"
"('Text', 'Wheel')","('Shoe', 'Court')"
"('Text', 'Arm')","('Shoe', 'Chair')"
"('Text', 'Party')","('Shoe', 'Art')"
"('Text', 'Lecture')","('Shoe', 'Architecture')"
"('Text', 'Closet')","('Shoe', 'Crypt')"
"('Animal', 'People')","('Shoe', 'Smile')"
"('Animal', 'Photography')","('Shoe', 'Vigil')"
"('Animal', 'Photo')","('Shoe', 'Jaw')"
"('Animal', 'Building')","('Shoe', 'Hand')"
"('Animal', 'Plant')","('Shoe', 'Military')"
"('Animal', 'Worker')","('Shoe', 'Tuxedo')"
"('Animal', 'Bed')","('Shoe', 'Computer')"
"('Animal', 'Window')","('Shoe', 'Theater')"
"('Animal', 'Clinic')","('Shoe', 'Pillow')"
"('Animal', 'Jewelry')","('Shoe', 'Mammal')"
"('Pants', 'Person')","('Shoe', 'Arm')"
"('Pants', 'Human')","('Shoe', 'Prison')"
"('Pants', 'Furniture')","('Shoe', 'Clinic')"
"('Pants', 'Female')","('Shoe', 'Wine')"
"('Pants', 'Girl')","('Shoe', 'Painting')"
"('Pants', 'Hat')","('Shoe', 'Ear')"
"('Pants', 'Monitor')","('Shoe', 'Pc')"
"('Pants', 'Display')","('Wheel', 'People')"
"('Pants', 'Cushion')","('Wheel', 'Woman')"
"('Pants', 'Shirt')","('Wheel', 'Animal')"
"('Pants', 'Alcohol')","('Wheel', 'Dungeon')"
"('Pants', 'City')","('Wheel', 'Crypt')"
"('Pants', 'Town')","('Wheel', 'Water')"
"('Pants', 'Worker')","('Wheel', 'Military')"
"('Pants', 'Grass')","('Wheel', 'Dress')"
"('Pants', 'Bed')","('Wheel', 'Pillow')"
"('Pants', 'Street')","('Wheel', 'Path')"
"('Pants', 'Shop')","('Wheel', 'Street')"
"('Pants', 'Prison')","('Wheel', 'Mammal')"
"('Pants', 'Helmet')","('Wheel', 'Dance')"
"('Lighting', 'Building')","('Wheel', 'Halo')"
"('Lighting', 'Electronics')","('Wheel', 'Jewelry')"
"('Lighting', 'Jacket')","('Wheel', 'Ear')"
"('Lighting', 'Lamp')","('Driving', 'Female')"
"('Lighting', 'Screen')","('Driving', 'Woman')"
"('Lighting', 'Car')","('Driving', 'Girl')"
"('Lighting', 'Automobile')","('Driving', 'Architecture')"
"('Lighting', 'Art')","('Driving', 'Animal')"
"('Lighting', 'Monitor')","('Driving', 'Smile')"
"('Lighting', 'Display')","('Driving', 'Vigil')"
"('Lighting', 'Pants')","('Driving', 'Tuxedo')"
"('Lighting', 'City')","('Driving', 'Mammal')"
"('Lighting', 'Town')","('Driving', 'Jewelry')"
"('Lighting', 'Skin')","('Driving', 'Ear')"
"('Lighting', 'Worker')","('Driving', 'Party')"
"('Lighting', 'Computer')","('Driving', 'Pc')"
"('Lighting', 'Piano')","('Mammal', 'Person')"
"('Lighting', 'Dance')","('Mammal', 'Human')"
"('Lighting', 'Cafe')","('Mammal', 'Man')"
"('Lighting', 'Jewelry')","('Mammal', 'Hair')"
"('Lighting', 'Painting')","('Mammal', 'Suit')"
"('Lighting', 'Party')","('Mammal', 'Pub')"
"('Lighting', 'Helmet')","('Mammal', 'Finger')"
"('Lighting', 'Pianist')","('Mammal', 'Electronics')"
"('Road', 'Finger')","('Mammal', 'Jacket')"
"('Road', 'Transportation')","('Mammal', 'Wood')"
"('Road', 'Vehicle')","('Mammal', 'Sitting')"
"('Road', 'Nature')","('Mammal', 'Door')"
"('Road', 'Performer')","('Mammal', 'Car')"
"('Road', 'Door')","('Mammal', 'Automobile')"
"('Road', 'Car')","('Mammal', 'Monitor')"
"('Road', 'Automobile')","('Mammal', 'Display')"
"('Road', 'Hat')","('Mammal', 'Cushion')"
"('Road', 'Musician')","('Mammal', 'Musician')"
"('Road', 'Pants')","('Mammal', 'Pedestrian')"
"('Road', 'Dungeon')","('Mammal', 'Text')"
"('Road', 'Light')","('Mammal', 'Pants')"
"('Road', 'Skin')","('Mammal', 'Light')"
"('Road', 'Machine')","('Mammal', 'Glasses')"
"('Road', 'Hand')","('Mammal', 'Skin')"
"('Road', 'Military')","('Mammal', 'Blossom')"
"('Road', 'Tuxedo')","('Mammal', 'Flower')"
"('Road', 'Footwear')","('Mammal', 'Jaw')"
"('Road', 'Theater')","('Mammal', 'Hand')"
"('Road', 'Shoe')","('Mammal', 'Flooring')"
"('Road', 'Cafe')","('Mammal', 'Footwear')"
"('Road', 'Prison')","('Mammal', 'Sunglasses')"
"('Road', 'Pc')","('Mammal', 'Piano')"
"('Road', 'Helmet')","('Mammal', 'Shop')"
"('Road', 'Book')","('Mammal', 'Shoe')"
"('Dungeon', 'Clothing')","('Mammal', 'Wheel')"
"('Dungeon', 'Apparel')","('Mammal', 'Driving')"
"('Dungeon', 'Photography')","('Mammal', 'Floor')"
"('Dungeon', 'Photo')","('Mammal', 'Party')"
"('Dungeon', 'Outdoors')","('Mammal', 'Pianist')"
"('Dungeon', 'Court')","('Floor', 'Face')"
"('Dungeon', 'Robe')","('Floor', 'Head')"
"('Dungeon', 'Chair')","('Floor', 'Accessory')"
"('Dungeon', 'Child')","('Floor', 'Accessories')"
"('Dungeon', 'Kid')","('Floor', 'Tie')"
"('Dungeon', 'Skin')","('Floor', 'Court')"
"('Dungeon', 'Theater')","('Floor', 'Shirt')"
"('Dungeon', 'Pillow')","('Floor', 'Pedestrian')"
"('Dungeon', 'Dance')","('Floor', 'Water')"
"('Dungeon', 'Stage')","('Floor', 'Jaw')"
"('Alcohol', 'Room')","('Floor', 'Hand')"
"('Alcohol', 'Furniture')","('Floor', 'Grass')"
"('Alcohol', 'Man')","('Floor', 'Military')"
"('Alcohol', 'Suit')","('Floor', 'Vegetation')"
"('Alcohol', 'Pub')","('Floor', 'Mammal')"
"('Alcohol', 'Woman')","('Floor', 'Arm')"
"('Alcohol', 'Electronics')","('Floor', 'Wine')"
"('Alcohol', 'Jacket')","('Arm', 'Clothing')"
"('Alcohol', 'Wood')","('Arm', 'Apparel')"
"('Alcohol', 'Sitting')","('Arm', 'Coat')"
"('Alcohol', 'Teen')","('Arm', 'Finger')"
"('Alcohol', 'Pants')","('Arm', 'Fashion')"
"('Alcohol', 'Lighting')","('Arm', 'Performer')"
"('Alcohol', 'Machine')","('Arm', 'Wood')"
"('Alcohol', 'Computer')","('Arm', 'Audience')"
"('Alcohol', 'Sunglasses')","('Arm', 'Hat')"
"('Alcohol', 'Pillow')","('Arm', 'Sleeve')"
"('Alcohol', 'Path')","('Arm', 'Art')"
"('Alcohol', 'Shoe')","('Arm', 'Architecture')"
"('Alcohol', 'Driving')","('Arm', 'Tree')"
"('Alcohol', 'Prison')","('Arm', 'Plywood')"
"('Alcohol', 'Pianist')","('Arm', 'Shelf')"
"('Tree', 'Female')","('Arm', 'Machine')"
"('Tree', 'People')","('Arm', 'Worker')"
"('Tree', 'Accessory')","('Arm', 'Club')"
"('Tree', 'Accessories')","('Arm', 'Meal')"
"('Tree', 'Finger')","('Arm', 'Wheel')"
"('Tree', 'Girl')","('Arm', 'Mammal')"
"('Tree', 'Food')","('Arm', 'Painting')"
"('Tree', 'Child')","('Arm', 'Closet')"
"('Tree', 'Kid')","('Arm', 'Banister')"
"('Tree', 'Glass')","('Arm', 'Helmet')"
