lag,movie,rms,-rms,-rms_normed,rms_normed
24,13_going_on_30,93.90111177520387,-93.90111177520387,0.29830736824275167,-0.29830736824275167
25,13_going_on_30,96.1869452661377,-96.1869452661377,0.2503243592692762,-0.2503243592692762
26,13_going_on_30,103.64293392076843,-103.64293392076843,0.09381218463352774,-0.09381218463352774
27,13_going_on_30,100.14888872201384,-100.14888872201384,0.16715733544636266,-0.16715733544636266
28,13_going_on_30,98.0022065361831,-98.0022065361831,0.2122193537405457,-0.2122193537405457
29,13_going_on_30,100.86649135077896,-100.86649135077896,0.15209380019237545,-0.15209380019237545
30,13_going_on_30,104.02196536780657,-104.02196536780657,0.08585575674995921,-0.08585575674995921
31,13_going_on_30,104.4674614000735,-104.4674614000735,0.07650413940832201,-0.07650413940832201
32,13_going_on_30,106.53293708621668,-106.53293708621668,0.0331467650519707,-0.0331467650519707
33,13_going_on_30,102.48147085073305,-102.48147085073305,0.11819300376707742,-0.11819300376707742
34,13_going_on_30,106.89798556141199,-106.89798556141199,0.025483860325741403,-0.025483860325741403
35,13_going_on_30,107.86169552725212,-107.86169552725212,0.005254169877097189,-0.005254169877097189
36,13_going_on_30,107.46684621080395,-107.46684621080395,0.013542638118309002,-0.013542638118309002
37,13_going_on_30,98.71449937411785,-98.71449937411785,0.19726727881036216,-0.19726727881036216
38,13_going_on_30,94.97183910573044,-94.97183910573044,0.2758312258148039,-0.2758312258148039
39,13_going_on_30,102.79308332930269,-102.79308332930269,0.11165179925031896,-0.11165179925031896
40,13_going_on_30,100.42217103218536,-100.42217103218536,0.16142073757374362,-0.16142073757374362
41,13_going_on_30,91.51302317731036,-91.51302317731036,0.3484368623973616,-0.3484368623973616
42,13_going_on_30,94.98509587893021,-94.98509587893021,0.27555294663570934,-0.27555294663570934
43,13_going_on_30,84.76858408912898,-84.76858408912898,0.49001256446525754,-0.49001256446525754
44,13_going_on_30,101.8493294063415,-101.8493294063415,0.13146258299017036,-0.13146258299017036
45,13_going_on_30,101.51308120550938,-101.51308120550938,0.13852092757293835,-0.13852092757293835
46,13_going_on_30,103.92775328625535,-103.92775328625535,0.08783340699106895,-0.08783340699106895
47,13_going_on_30,105.88780623625496,-105.88780623625496,0.04668901101413517,-0.04668901101413517
48,13_going_on_30,104.73092571941551,-104.73092571941551,0.07097363561208375,-0.07097363561208375
49,13_going_on_30,103.45717154583309,-103.45717154583309,0.0977116102648387,-0.0977116102648387
50,13_going_on_30,97.5974891875195,-97.5974891875195,0.22071496650047298,-0.22071496650047298
51,13_going_on_30,74.46259115790599,-74.46259115790599,0.7063505231402025,-0.7063505231402025
52,13_going_on_30,73.47601564217413,-73.47601564217413,0.7270601951316797,-0.7270601951316797
53,13_going_on_30,112.69027623491802,-112.69027623491802,-0.09610484526727858,0.09610484526727858
54,13_going_on_30,109.55623747040731,-109.55623747040731,-0.030316759320868504,0.030316759320868504
55,13_going_on_30,109.59434476574499,-109.59434476574499,-0.031116687531473144,0.031116687531473144
56,13_going_on_30,107.65330247556228,-107.65330247556228,0.009628646718434606,-0.009628646718434606
57,13_going_on_30,97.25342290452616,-97.25342290452616,0.2279374241334632,-0.2279374241334632
58,13_going_on_30,97.2100712078943,-97.2100712078943,0.22884744004527494,-0.22884744004527494
59,13_going_on_30,103.6160958025645,-103.6160958025645,0.09437555623155437,-0.09437555623155437
0,27_dresses,0.0,-0.0,2.2694298961081754,-2.2694298961081754
1,27_dresses,77.15291931516619,-77.15291931516619,0.6498765758367737,-0.6498765758367737
2,27_dresses,91.5824362907094,-91.5824362907094,0.34697977899373095,-0.34697977899373095
3,27_dresses,87.50882309766081,-87.50882309766081,0.4324909149411992,-0.4324909149411992
4,27_dresses,89.60553944872022,-89.60553944872022,0.38847775305222193,-0.38847775305222193
5,27_dresses,99.72720558673099,-99.72720558673099,0.17600908503551327,-0.17600908503551327
6,27_dresses,97.98755517068554,-97.98755517068554,0.21252690746435424,-0.21252690746435424
7,27_dresses,97.51294426416126,-97.51294426416126,0.22248968886421908,-0.22248968886421908
8,27_dresses,91.14570290600369,-91.14570290600369,0.3561474554673087,-0.3561474554673087
9,27_dresses,96.62237240835206,-96.62237240835206,0.2411841027479531,-0.2411841027479531
10,27_dresses,96.33694105097582,-96.33694105097582,0.24717572700082038,-0.24717572700082038
11,27_dresses,91.16615641248656,-91.16615641248656,0.35571810626536593,-0.35571810626536593
12,27_dresses,99.96200563260751,-99.96200563260751,0.17108028652374452,-0.17108028652374452
13,27_dresses,100.40433684531178,-100.40433684531178,0.16179510340230638,-0.16179510340230638
14,27_dresses,91.16804248778186,-91.16804248778186,0.355678514769232,-0.355678514769232
15,27_dresses,91.976003987885,-91.976003987885,0.3387182138271746,-0.3387182138271746
16,27_dresses,100.43151678563322,-100.43151678563322,0.1612245564549827,-0.1612245564549827
17,27_dresses,110.96056677029665,-110.96056677029665,-0.0597956980386561,0.0597956980386561
18,27_dresses,112.86894250750382,-112.86894250750382,-0.0998553132671326,0.0998553132671326
19,27_dresses,105.84787359949556,-105.84787359949556,0.0475272558274869,-0.0475272558274869
20,27_dresses,117.62276308231932,-117.62276308231932,-0.19964500320053125,0.19964500320053125
21,27_dresses,108.90569617218698,-108.90569617218698,-0.01666094008734663,0.01666094008734663
22,27_dresses,106.00176618980579,-106.00176618980579,0.04429682387734921,-0.04429682387734921
23,27_dresses,114.99982689668222,-114.99982689668222,-0.14458571256039685,0.14458571256039685
24,27_dresses,115.26216523566215,-115.26216523566215,-0.15009258037176057,0.15009258037176057
25,27_dresses,114.68477685911196,-114.68477685911196,-0.13797234862125368,0.13797234862125368
26,27_dresses,107.05557198297177,-107.05557198297177,0.022175889421565016,-0.022175889421565016
27,27_dresses,113.86595703773092,-113.86595703773092,-0.12078411553567786,0.12078411553567786
28,27_dresses,111.87072457994799,-111.87072457994799,-0.07890124991765042,0.07890124991765042
